0.0.0.0		0.0.0.0		*		192.168.1.1		DEFAULT		1
118.0.0.0		255.0.0.0		01110110		182.3.165.19		S2		9
66.0.0.0		255.0.0.0		01000010		191.135.194.80		S2		6
90.0.0.0		255.0.0.0		01011010		33.237.236.178		S4		7
67.0.0.0		255.0.0.0		01000011		162.37.212.136		S4		7
31.0.0.0		255.0.0.0		00011111		148.19.44.122		S2		1
19.0.0.0		255.0.0.0		00010011		96.107.55.36		S4		4
96.0.0.0		255.0.0.0		01100000		171.94.22.120		S1		6
90.0.0.0		255.0.0.0		01011010		58.70.72.1		S4		8
14.0.0.0		255.0.0.0		00001110		200.46.87.43		S2		5
84.0.0.0		255.0.0.0		01010100		36.134.165.168		S2		12
115.0.0.0		255.0.0.0		01110011		114.160.195.27		S4		5
97.0.0.0		255.0.0.0		01100001		82.31.43.122		S2		13
13.0.0.0		255.0.0.0		00001101		143.108.239.13		S3		15
27.0.0.0		255.0.0.0		00011011		161.79.3.162		S1		16
27.0.0.0		255.0.0.0		00011011		97.217.133.105		S2		7
92.0.0.0		255.0.0.0		01011100		173.175.8.180		S4		9
108.0.0.0		255.0.0.0		01101100		6.239.47.204		S2		5
10.0.0.0		255.0.0.0		00001010		176.71.29.216		S4		3
13.0.0.0		255.0.0.0		00001101		216.208.231.18		S3		14
106.0.0.0		255.0.0.0		01101010		21.149.27.88		S4		8
48.0.0.0		255.0.0.0		00110000		222.152.240.1		S1		8
41.0.0.0		255.0.0.0		00101001		139.196.35.206		S1		2
22.0.0.0		255.0.0.0		00010110		195.195.77.118		S3		3
53.0.0.0		255.0.0.0		00110101		44.244.153.238		S3		6
24.0.0.0		255.0.0.0		00011000		26.9.177.184		S4		2
21.0.0.0		255.0.0.0		00010101		53.53.221.163		S1		11
52.0.0.0		255.0.0.0		00110100		184.180.251.81		S2		1
59.0.0.0		255.0.0.0		00111011		166.136.176.104		S2		6
83.0.0.0		255.0.0.0		01010011		153.18.247.44		S4		11
49.0.0.0		255.0.0.0		00110001		120.43.190.153		S2		1
76.0.0.0		255.0.0.0		01001100		110.93.16.233		S4		13
41.0.0.0		255.0.0.0		00101001		169.244.38.88		S1		16
100.0.0.0		255.0.0.0		01100100		42.168.130.229		S3		16
73.0.0.0		255.0.0.0		01001001		128.30.251.154		S1		2
106.0.0.0		255.0.0.0		01101010		100.101.25.119		S3		10
122.0.0.0		255.0.0.0		01111010		117.170.165.113		S3		2
114.0.0.0		255.0.0.0		01110010		152.62.205.141		S3		2
113.0.0.0		255.0.0.0		01110001		83.32.121.135		S2		11
43.0.0.0		255.0.0.0		00101011		76.229.135.74		S3		13
59.0.0.0		255.0.0.0		00111011		55.196.149.160		S3		6
14.0.0.0		255.0.0.0		00001110		39.59.79.108		S1		6
118.0.0.0		255.0.0.0		01110110		109.55.240.12		S2		2
45.0.0.0		255.0.0.0		00101101		177.141.151.225		S3		12
60.0.0.0		255.0.0.0		00111100		87.237.209.159		S4		5
109.0.0.0		255.0.0.0		01101101		148.23.46.94		S1		5
34.0.0.0		255.0.0.0		00100010		80.167.199.234		S1		10
36.0.0.0		255.0.0.0		00100100		94.0.128.117		S1		15
73.0.0.0		255.0.0.0		01001001		141.13.148.196		S3		9
4.0.0.0		255.0.0.0		00000100		22.255.171.144		S1		5
98.0.0.0		255.0.0.0		01100010		113.47.103.154		S3		12
113.0.0.0		255.0.0.0		01110001		106.26.61.215		S3		15
116.0.0.0		255.0.0.0		01110100		60.230.120.107		S1		5
45.0.0.0		255.0.0.0		00101101		223.63.194.227		S4		10
116.0.0.0		255.0.0.0		01110100		207.81.15.115		S2		11
73.0.0.0		255.0.0.0		01001001		94.143.50.103		S1		3
113.0.0.0		255.0.0.0		01110001		110.134.83.18		S3		1
21.0.0.0		255.0.0.0		00010101		110.8.86.0		S4		9
2.0.0.0		255.0.0.0		00000010		178.210.197.101		S1		3
92.0.0.0		255.0.0.0		01011100		118.143.12.219		S1		14
85.0.0.0		255.0.0.0		01010101		184.67.207.222		S1		15
40.0.0.0		255.0.0.0		00101000		126.3.229.27		S3		4
41.0.0.0		255.0.0.0		00101001		137.218.219.58		S2		4
2.0.0.0		255.0.0.0		00000010		126.7.146.130		S4		11
90.0.0.0		255.0.0.0		01011010		175.241.100.129		S3		5
122.0.0.0		255.0.0.0		01111010		0.95.76.163		S2		8
40.0.0.0		255.0.0.0		00101000		17.76.174.220		S1		9
63.0.0.0		255.0.0.0		00111111		83.136.101.218		S2		11
40.0.0.0		255.0.0.0		00101000		34.83.144.120		S4		10
10.0.0.0		255.0.0.0		00001010		32.145.159.23		S2		4
117.0.0.0		255.0.0.0		01110101		41.143.146.248		S1		3
96.0.0.0		255.0.0.0		01100000		50.127.133.127		S1		8
28.0.0.0		255.0.0.0		00011100		158.49.116.127		S1		4
17.0.0.0		255.0.0.0		00010001		70.26.131.98		S3		7
119.0.0.0		255.0.0.0		01110111		188.161.42.118		S4		13
102.0.0.0		255.0.0.0		01100110		83.105.222.144		S3		4
51.0.0.0		255.0.0.0		00110011		117.195.18.32		S4		13
15.0.0.0		255.0.0.0		00001111		178.234.36.77		S2		5
95.0.0.0		255.0.0.0		01011111		91.12.9.89		S2		11
30.0.0.0		255.0.0.0		00011110		96.59.73.92		S1		13
19.0.0.0		255.0.0.0		00010011		82.212.148.48		S2		1
77.0.0.0		255.0.0.0		01001101		154.238.63.165		S1		4
74.0.0.0		255.0.0.0		01001010		83.255.100.246		S2		10
63.0.0.0		255.0.0.0		00111111		66.157.185.205		S3		5
77.0.0.0		255.0.0.0		01001101		40.217.171.41		S2		13
11.0.0.0		255.0.0.0		00001011		181.155.220.243		S1		9
26.0.0.0		255.0.0.0		00011010		65.173.115.186		S3		8
119.0.0.0		255.0.0.0		01110111		65.139.133.152		S3		5
123.0.0.0		255.0.0.0		01111011		189.104.6.9		S1		9
76.0.0.0		255.0.0.0		01001100		19.98.215.231		S2		14
44.0.0.0		255.0.0.0		00101100		139.16.159.62		S4		4
95.0.0.0		255.0.0.0		01011111		117.216.214.159		S3		6
122.0.0.0		255.0.0.0		01111010		188.57.154.123		S4		15
11.0.0.0		255.0.0.0		00001011		130.69.195.104		S4		15
69.0.0.0		255.0.0.0		01000101		52.200.116.35		S2		6
57.0.0.0		255.0.0.0		00111001		154.0.163.172		S4		15
39.0.0.0		255.0.0.0		00100111		17.179.72.6		S1		2
30.0.0.0		255.0.0.0		00011110		114.153.185.154		S4		6
29.0.0.0		255.0.0.0		00011101		40.4.116.45		S3		10
16.0.0.0		255.0.0.0		00010000		37.203.5.130		S2		12
52.0.0.0		255.0.0.0		00110100		143.54.110.60		S1		5
9.0.0.0		255.0.0.0		00001001		32.8.37.94		S1		9
65.0.0.0		255.0.0.0		01000001		213.72.13.197		S2		15
2.0.0.0		255.0.0.0		00000010		84.172.40.133		S1		13
0.0.0.0		255.0.0.0		00000000		66.180.76.95		S2		14
86.0.0.0		255.0.0.0		01010110		172.98.30.50		S4		5
47.0.0.0		255.0.0.0		00101111		172.19.140.68		S3		15
9.0.0.0		255.0.0.0		00001001		9.16.63.240		S1		8
48.0.0.0		255.0.0.0		00110000		41.192.197.69		S3		2
92.0.0.0		255.0.0.0		01011100		143.38.81.163		S2		15
106.0.0.0		255.0.0.0		01101010		53.3.174.31		S1		14
114.0.0.0		255.0.0.0		01110010		55.60.233.196		S4		10
116.0.0.0		255.0.0.0		01110100		117.242.56.51		S2		8
6.0.0.0		255.0.0.0		00000110		222.77.177.13		S4		1
98.0.0.0		255.0.0.0		01100010		201.97.228.63		S2		10
72.0.0.0		255.0.0.0		01001000		183.69.46.247		S4		5
42.0.0.0		255.0.0.0		00101010		51.211.198.70		S2		1
93.0.0.0		255.0.0.0		01011101		195.53.138.243		S4		16
106.0.0.0		255.0.0.0		01101010		166.202.251.200		S2		12
118.0.0.0		255.0.0.0		01110110		184.135.16.201		S2		5
16.0.0.0		255.0.0.0		00010000		44.158.169.74		S1		3
89.0.0.0		255.0.0.0		01011001		65.125.152.55		S3		2
58.0.0.0		255.0.0.0		00111010		187.87.13.16		S2		1
123.0.0.0		255.0.0.0		01111011		58.229.78.11		S4		15
119.0.0.0		255.0.0.0		01110111		3.198.192.248		S4		9
77.0.0.0		255.0.0.0		01001101		128.23.198.214		S3		2
124.0.0.0		255.0.0.0		01111100		180.3.238.183		S1		5
107.0.0.0		255.0.0.0		01101011		70.217.132.38		S4		6
8.0.0.0		255.0.0.0		00001000		47.53.165.232		S1		10
24.0.0.0		255.0.0.0		00011000		92.204.28.200		S1		2
84.0.0.0		255.0.0.0		01010100		41.101.24.196		S1		9
17.0.0.0		255.0.0.0		00010001		84.235.183.205		S4		4
111.0.0.0		255.0.0.0		01101111		3.241.68.170		S4		7
52.0.0.0		255.0.0.0		00110100		149.26.202.111		S2		3
37.0.0.0		255.0.0.0		00100101		137.0.84.254		S4		5
111.0.0.0		255.0.0.0		01101111		111.36.7.127		S3		6
31.0.0.0		255.0.0.0		00011111		103.84.2.165		S4		12
39.0.0.0		255.0.0.0		00100111		35.59.160.185		S4		13
23.0.0.0		255.0.0.0		00010111		220.202.91.14		S3		10
28.0.0.0		255.0.0.0		00011100		10.126.25.47		S4		11
87.0.0.0		255.0.0.0		01010111		169.219.228.38		S2		15
57.0.0.0		255.0.0.0		00111001		58.165.147.249		S3		5
82.0.0.0		255.0.0.0		01010010		77.110.8.137		S4		10
2.0.0.0		255.0.0.0		00000010		209.125.224.100		S2		8
124.0.0.0		255.0.0.0		01111100		90.159.195.121		S2		16
8.0.0.0		255.0.0.0		00001000		193.180.39.34		S3		2
32.0.0.0		255.0.0.0		00100000		158.160.98.90		S3		2
42.0.0.0		255.0.0.0		00101010		17.159.239.72		S3		9
60.0.0.0		255.0.0.0		00111100		196.126.7.41		S1		5
46.0.0.0		255.0.0.0		00101110		174.131.227.97		S2		4
19.0.0.0		255.0.0.0		00010011		196.247.231.115		S4		13
35.0.0.0		255.0.0.0		00100011		35.23.30.196		S1		3
76.0.0.0		255.0.0.0		01001100		13.49.144.104		S4		1
56.0.0.0		255.0.0.0		00111000		70.7.151.57		S2		6
64.0.0.0		255.0.0.0		01000000		98.77.231.39		S1		14
113.0.0.0		255.0.0.0		01110001		117.72.204.62		S3		16
126.0.0.0		255.0.0.0		01111110		11.36.237.233		S2		7
93.0.0.0		255.0.0.0		01011101		32.130.98.225		S1		4
125.0.0.0		255.0.0.0		01111101		117.129.47.80		S4		13
46.0.0.0		255.0.0.0		00101110		7.156.107.38		S4		4
20.0.0.0		255.0.0.0		00010100		45.100.35.63		S3		10
71.0.0.0		255.0.0.0		01000111		108.236.235.65		S4		1
81.0.0.0		255.0.0.0		01010001		92.68.8.241		S1		9
93.0.0.0		255.0.0.0		01011101		220.198.133.13		S3		10
14.0.0.0		255.0.0.0		00001110		56.204.28.32		S2		11
88.0.0.0		255.0.0.0		01011000		38.124.92.172		S3		2
122.0.0.0		255.0.0.0		01111010		181.125.248.170		S1		6
9.0.0.0		255.0.0.0		00001001		15.137.146.187		S4		13
1.0.0.0		255.0.0.0		00000001		19.157.154.95		S2		4
7.0.0.0		255.0.0.0		00000111		58.105.92.200		S1		14
41.0.0.0		255.0.0.0		00101001		173.214.226.32		S3		3
99.0.0.0		255.0.0.0		01100011		93.131.0.42		S3		4
8.0.0.0		255.0.0.0		00001000		117.149.151.216		S1		10
113.0.0.0		255.0.0.0		01110001		94.133.23.225		S2		1
59.0.0.0		255.0.0.0		00111011		164.87.12.239		S1		3
26.0.0.0		255.0.0.0		00011010		10.213.133.188		S1		1
93.0.0.0		255.0.0.0		01011101		112.231.30.152		S2		1
25.0.0.0		255.0.0.0		00011001		218.52.107.202		S3		7
16.0.0.0		255.0.0.0		00010000		82.125.132.183		S1		6
32.0.0.0		255.0.0.0		00100000		66.153.163.234		S1		16
7.0.0.0		255.0.0.0		00000111		195.127.58.174		S4		5
110.0.0.0		255.0.0.0		01101110		6.172.96.202		S2		10
45.0.0.0		255.0.0.0		00101101		126.46.65.241		S2		7
5.0.0.0		255.0.0.0		00000101		3.174.2.81		S1		8
116.0.0.0		255.0.0.0		01110100		47.168.133.177		S3		13
45.0.0.0		255.0.0.0		00101101		213.189.120.183		S3		14
63.0.0.0		255.0.0.0		00111111		202.9.141.51		S1		6
20.0.0.0		255.0.0.0		00010100		1.172.245.166		S1		6
23.0.0.0		255.0.0.0		00010111		7.173.54.231		S2		5
21.0.0.0		255.0.0.0		00010101		218.172.253.207		S2		12
95.0.0.0		255.0.0.0		01011111		57.231.170.7		S3		5
127.0.0.0		255.0.0.0		01111111		81.218.201.219		S2		12
75.0.0.0		255.0.0.0		01001011		48.42.24.153		S2		14
93.0.0.0		255.0.0.0		01011101		140.180.189.9		S4		2
67.0.0.0		255.0.0.0		01000011		20.4.130.148		S4		11
43.0.0.0		255.0.0.0		00101011		49.17.242.190		S4		4
5.0.0.0		255.0.0.0		00000101		171.10.136.202		S4		7
11.0.0.0		255.0.0.0		00001011		209.223.67.101		S2		7
23.0.0.0		255.0.0.0		00010111		180.83.223.144		S2		11
100.0.0.0		255.0.0.0		01100100		112.152.47.130		S1		11
95.0.0.0		255.0.0.0		01011111		180.38.28.230		S4		1
34.0.0.0		255.0.0.0		00100010		165.153.207.240		S3		13
89.0.0.0		255.0.0.0		01011001		133.133.166.218		S2		6
96.0.0.0		255.0.0.0		01100000		200.87.148.36		S3		9
28.0.0.0		255.0.0.0		00011100		129.69.113.132		S4		11
45.0.0.0		255.0.0.0		00101101		133.188.68.124		S2		4
45.0.0.0		255.0.0.0		00101101		159.43.87.127		S1		13
0.0.0.0		255.0.0.0		00000000		38.23.31.177		S4		14
0.0.0.0		255.0.0.0		00000000		87.3.233.233		S2		4
49.0.0.0		255.0.0.0		00110001		152.111.251.4		S1		2
55.0.0.0		255.0.0.0		00110111		204.101.22.65		S1		9
112.0.0.0		255.0.0.0		01110000		173.231.66.48		S1		2
16.0.0.0		255.0.0.0		00010000		190.158.139.3		S2		16
76.0.0.0		255.0.0.0		01001100		86.91.116.11		S2		1
36.0.0.0		255.0.0.0		00100100		215.62.152.192		S3		7
106.0.0.0		255.0.0.0		01101010		174.23.10.63		S4		11
60.0.0.0		255.0.0.0		00111100		107.111.164.35		S2		9
62.0.0.0		255.0.0.0		00111110		188.154.172.199		S2		5
68.0.0.0		255.0.0.0		01000100		54.167.59.34		S1		2
119.0.0.0		255.0.0.0		01110111		178.151.98.181		S4		11
38.0.0.0		255.0.0.0		00100110		72.171.226.64		S4		5
13.0.0.0		255.0.0.0		00001101		68.132.155.94		S4		5
109.0.0.0		255.0.0.0		01101101		77.214.65.92		S3		1
43.0.0.0		255.0.0.0		00101011		222.228.249.206		S2		13
103.0.0.0		255.0.0.0		01100111		103.203.4.42		S1		2
91.0.0.0		255.0.0.0		01011011		162.14.44.35		S3		14
16.0.0.0		255.0.0.0		00010000		141.167.175.226		S2		6
57.0.0.0		255.0.0.0		00111001		67.87.246.220		S1		4
88.0.0.0		255.0.0.0		01011000		118.104.238.147		S2		6
25.0.0.0		255.0.0.0		00011001		34.205.113.220		S4		14
43.0.0.0		255.0.0.0		00101011		71.217.67.255		S1		10
58.0.0.0		255.0.0.0		00111010		178.160.205.164		S1		9
2.0.0.0		255.0.0.0		00000010		22.197.21.156		S1		6
28.0.0.0		255.0.0.0		00011100		211.173.215.177		S4		15
86.0.0.0		255.0.0.0		01010110		84.253.249.32		S4		8
27.0.0.0		255.0.0.0		00011011		46.232.124.245		S2		3
40.0.0.0		255.0.0.0		00101000		5.167.39.253		S3		16
101.0.0.0		255.0.0.0		01100101		98.172.42.14		S3		12
80.0.0.0		255.0.0.0		01010000		204.20.169.118		S1		8
127.0.0.0		255.0.0.0		01111111		37.172.119.127		S4		6
105.0.0.0		255.0.0.0		01101001		180.90.106.189		S3		9
44.0.0.0		255.0.0.0		00101100		97.237.172.198		S1		5
108.0.0.0		255.0.0.0		01101100		155.169.218.3		S1		4
91.0.0.0		255.0.0.0		01011011		67.105.180.4		S2		16
119.0.0.0		255.0.0.0		01110111		112.82.95.22		S4		7
43.0.0.0		255.0.0.0		00101011		25.74.121.159		S3		14
28.0.0.0		255.0.0.0		00011100		69.224.127.158		S1		11
44.0.0.0		255.0.0.0		00101100		178.110.81.203		S4		6
70.0.0.0		255.0.0.0		01000110		19.135.84.240		S4		14
5.0.0.0		255.0.0.0		00000101		144.78.250.4		S4		16
40.0.0.0		255.0.0.0		00101000		223.38.228.124		S4		6
69.0.0.0		255.0.0.0		01000101		22.174.97.32		S4		8
101.0.0.0		255.0.0.0		01100101		191.129.103.252		S2		4
23.0.0.0		255.0.0.0		00010111		28.16.252.236		S1		3
98.0.0.0		255.0.0.0		01100010		114.39.192.39		S2		3
104.0.0.0		255.0.0.0		01101000		58.161.88.186		S1		3
67.0.0.0		255.0.0.0		01000011		81.237.80.244		S1		15
15.0.0.0		255.0.0.0		00001111		42.214.42.182		S1		8
65.0.0.0		255.0.0.0		01000001		57.115.197.146		S1		15
22.0.0.0		255.0.0.0		00010110		165.156.40.121		S3		9
54.0.0.0		255.0.0.0		00110110		25.81.173.237		S4		2
7.0.0.0		255.0.0.0		00000111		96.173.220.88		S4		6
78.0.0.0		255.0.0.0		01001110		122.92.150.187		S3		11
12.0.0.0		255.0.0.0		00001100		125.218.221.132		S3		7
124.0.0.0		255.0.0.0		01111100		60.179.223.189		S1		12
1.0.0.0		255.0.0.0		00000001		106.234.96.22		S1		11
8.0.0.0		255.0.0.0		00001000		184.78.95.42		S4		7
108.0.0.0		255.0.0.0		01101100		159.242.92.10		S4		1
60.0.0.0		255.0.0.0		00111100		104.205.170.27		S3		14
114.0.0.0		255.0.0.0		01110010		14.137.255.188		S2		10
43.0.0.0		255.0.0.0		00101011		199.98.47.174		S3		10
108.0.0.0		255.0.0.0		01101100		105.143.145.26		S4		6
91.0.0.0		255.0.0.0		01011011		120.77.36.195		S2		4
57.0.0.0		255.0.0.0		00111001		129.135.26.249		S2		14
54.0.0.0		255.0.0.0		00110110		55.238.251.144		S4		2
72.0.0.0		255.0.0.0		01001000		136.213.229.39		S4		13
118.0.0.0		255.0.0.0		01110110		135.17.246.19		S3		10
34.0.0.0		255.0.0.0		00100010		131.62.83.177		S3		12
107.0.0.0		255.0.0.0		01101011		77.95.198.250		S1		11
107.0.0.0		255.0.0.0		01101011		27.243.64.10		S2		15
100.0.0.0		255.0.0.0		01100100		42.28.19.117		S3		2
25.0.0.0		255.0.0.0		00011001		13.97.244.153		S2		7
33.0.0.0		255.0.0.0		00100001		173.103.176.215		S1		7
6.0.0.0		255.0.0.0		00000110		18.159.255.160		S3		6
108.0.0.0		255.0.0.0		01101100		168.138.247.125		S4		5
69.0.0.0		255.0.0.0		01000101		65.248.239.109		S3		4
68.0.0.0		255.0.0.0		01000100		57.38.124.222		S4		11
13.0.0.0		255.0.0.0		00001101		36.87.97.244		S3		10
91.0.0.0		255.0.0.0		01011011		160.24.2.147		S3		7
98.0.0.0		255.0.0.0		01100010		47.114.156.18		S3		1
82.0.0.0		255.0.0.0		01010010		87.134.116.49		S2		12
4.0.0.0		255.0.0.0		00000100		120.232.75.81		S3		11
124.0.0.0		255.0.0.0		01111100		146.52.10.10		S2		6
126.0.0.0		255.0.0.0		01111110		176.101.75.59		S1		14
52.0.0.0		255.0.0.0		00110100		95.113.111.121		S4		4
5.0.0.0		255.0.0.0		00000101		140.254.216.93		S2		5
118.0.0.0		255.0.0.0		01110110		1.231.172.124		S3		1
60.0.0.0		255.0.0.0		00111100		104.68.244.55		S1		6
1.0.0.0		255.0.0.0		00000001		175.247.52.17		S1		6
119.0.0.0		255.0.0.0		01110111		27.51.186.179		S4		14
59.0.0.0		255.0.0.0		00111011		143.126.220.178		S1		7
38.0.0.0		255.0.0.0		00100110		215.4.177.57		S2		4
52.0.0.0		255.0.0.0		00110100		87.36.88.214		S4		12
105.0.0.0		255.0.0.0		01101001		59.238.241.83		S3		9
29.0.0.0		255.0.0.0		00011101		144.58.28.224		S1		2
52.0.0.0		255.0.0.0		00110100		152.116.251.197		S3		12
122.0.0.0		255.0.0.0		01111010		198.147.224.93		S2		9
46.0.0.0		255.0.0.0		00101110		165.5.49.131		S4		10
87.0.0.0		255.0.0.0		01010111		173.149.145.49		S3		1
25.0.0.0		255.0.0.0		00011001		151.236.143.231		S3		2
74.0.0.0		255.0.0.0		01001010		26.47.140.134		S4		8
72.0.0.0		255.0.0.0		01001000		140.185.215.56		S1		11
64.0.0.0		255.0.0.0		01000000		80.237.62.193		S1		2
88.0.0.0		255.0.0.0		01011000		35.12.48.190		S4		5
104.0.0.0		255.0.0.0		01101000		87.137.235.255		S4		8
58.0.0.0		255.0.0.0		00111010		116.247.248.1		S4		8
98.0.0.0		255.0.0.0		01100010		192.214.151.60		S3		3
61.0.0.0		255.0.0.0		00111101		206.136.131.143		S4		5
73.0.0.0		255.0.0.0		01001001		71.17.21.232		S3		8
87.0.0.0		255.0.0.0		01010111		172.246.124.64		S3		9
5.0.0.0		255.0.0.0		00000101		23.153.253.180		S3		6
28.0.0.0		255.0.0.0		00011100		92.49.102.39		S2		9
11.0.0.0		255.0.0.0		00001011		137.89.202.21		S3		3
97.0.0.0		255.0.0.0		01100001		71.96.57.236		S2		12
17.0.0.0		255.0.0.0		00010001		29.144.232.102		S1		3
117.0.0.0		255.0.0.0		01110101		192.96.201.42		S4		2
71.0.0.0		255.0.0.0		01000111		101.227.189.137		S2		13
102.0.0.0		255.0.0.0		01100110		160.170.94.47		S3		2
91.0.0.0		255.0.0.0		01011011		31.108.43.127		S4		16
3.0.0.0		255.0.0.0		00000011		143.65.133.143		S2		3
109.0.0.0		255.0.0.0		01101101		34.221.177.105		S1		8
103.0.0.0		255.0.0.0		01100111		96.59.213.35		S1		6
22.0.0.0		255.0.0.0		00010110		133.223.66.137		S2		10
66.0.0.0		255.0.0.0		01000010		138.213.220.81		S4		6
